step,total_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg
0,0.8867212533950806,0.48253804445266724,0.18723277747631073,0.19911198318004608,0.017838388681411743
1,0.8401711583137512,0.44607478380203247,0.17411506175994873,0.2003636211156845,0.019617658108472824
2,0.8632822632789612,0.45760661363601685,0.1880687177181244,0.19830939173698425,0.01929752714931965
3,0.761254072189331,0.38115009665489197,0.15489479899406433,0.20644590258598328,0.01876331865787506
4,0.7779014110565186,0.3951578438282013,0.15589454770088196,0.20812952518463135,0.01871950924396515
5,0.6573450565338135,0.3225628435611725,0.11014744639396667,0.20539122819900513,0.019243530929088593
6,0.7598937153816223,0.4034996032714844,0.1415978968143463,0.19495940208435059,0.019836854189634323
7,0.7528623342514038,0.3946419954299927,0.16183845698833466,0.17713825404644012,0.019243618473410606
8,0.776688814163208,0.4068780243396759,0.18162503838539124,0.1698317676782608,0.018353989347815514
9,0.7043148279190063,0.3621120750904083,0.16816768050193787,0.1572406142950058,0.016794458031654358
10,0.6493206024169922,0.3354313373565674,0.15370212495326996,0.14429830014705658,0.015888839960098267
11,0.7067199349403381,0.3711508512496948,0.18167629837989807,0.13922666013240814,0.0146661177277565
12,0.6485193967819214,0.33662182092666626,0.18899552524089813,0.10884791612625122,0.014054089784622192
13,0.5698879957199097,0.2863389551639557,0.16418687999248505,0.10579710453748703,0.013565067201852798
14,0.6067037582397461,0.33008822798728943,0.16780498623847961,0.09504874050617218,0.013761833310127258
15,0.5701791644096375,0.28697267174720764,0.16940900683403015,0.09963337332010269,0.014164090156555176
16,0.624355137348175,0.3383837640285492,0.19068700075149536,0.0811694785952568,0.01411491446197033
17,0.5766716599464417,0.3279082179069519,0.1624411791563034,0.07168637216091156,0.014635836705565453
18,0.5085731148719788,0.2754386365413666,0.16009779274463654,0.05893867462873459,0.01409797091037035
19,0.49995940923690796,0.2736378610134125,0.16120171546936035,0.0514816977083683,0.013638140633702278
20,0.5345855355262756,0.29440605640411377,0.18961510062217712,0.03501054272055626,0.015553812496364117
21,0.5617437958717346,0.30454444885253906,0.20270255208015442,0.038437314331531525,0.0160595141351223
22,0.5010490417480469,0.25327157974243164,0.20695599913597107,0.02508237585425377,0.015739109367132187
23,0.47175174951553345,0.24418511986732483,0.1708751618862152,0.044067226350307465,0.012624221853911877
24,0.45286065340042114,0.21256773173809052,0.20697453618049622,0.019171975553035736,0.014146427623927593
25,0.3934869170188904,0.18793243169784546,0.17981843650341034,0.014856555499136448,0.010879498906433582
26,0.41153383255004883,0.1940823644399643,0.19248417019844055,0.013496823608875275,0.011470481753349304
27,0.3464680314064026,0.15279880166053772,0.173716738820076,0.010640759952366352,0.009311702102422714
28,0.3327789306640625,0.15781792998313904,0.15490961074829102,0.009137304499745369,0.010914087295532227
29,0.3160032033920288,0.13518887758255005,0.16229532659053802,0.011617247015237808,0.006901753135025501
30,0.28512752056121826,0.11032083630561829,0.15559029579162598,0.012117071077227592,0.007099326699972153
31,0.2713111937046051,0.10387375205755234,0.15436699986457825,0.006792155560106039,0.0062782736495137215
32,0.25265631079673767,0.0829993262887001,0.14533010125160217,0.018176667392253876,0.00615021213889122
33,0.27390941977500916,0.10289217531681061,0.15323126316070557,0.011296899989247322,0.006489087827503681
34,0.23517651855945587,0.06763363629579544,0.15705999732017517,0.004645388573408127,0.005837505683302879
35,0.2126319259405136,0.07110514491796494,0.132951557636261,0.003397321328520775,0.005177900195121765
36,0.25689104199409485,0.08822192996740341,0.15017515420913696,0.013326677493751049,0.005167287774384022
37,0.3027772307395935,0.10566333681344986,0.18907591700553894,0.003605895210057497,0.004432096146047115
38,0.2922852337360382,0.1039481833577156,0.18115952610969543,0.001986248418688774,0.005191286560148001
39,0.3015208840370178,0.11115553975105286,0.18041351437568665,0.005890325177460909,0.004061497747898102
40,0.25021985173225403,0.07790403068065643,0.16256943345069885,0.004732939880341291,0.005013464950025082
